T
100
,,Base:XYPlane1,,,Base:XYPlane2,,,Base:XYPlane3,,,Base:XYPlane4,,,Base:Zbase,,,OriginTest:O,,,OriginTest:X,,,OriginTest:Y,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
53,0,-559.868958,-91.121918,233.456970,-561.947144,-20.339962,233.802719,-633.492615,-23.703550,236.031204,-628.218262,-93.677605,235.521393,-616.468628,205.862976,34.102879,9.279937,10.224351,43.697601,202.436768,10.332819,36.616589,9.222663,236.536972,43.818089
54,0,-559.865845,-91.125481,233.438812,-561.943054,-20.345610,233.780518,-633.492554,-23.707569,236.009262,-628.225098,-93.680824,235.499008,-616.458862,205.867752,34.081676,9.280702,10.224045,43.673626,202.440720,10.332722,36.591080,9.225746,236.539368,43.790043
55,0,-559.870483,-91.121010,233.446869,-561.944519,-20.346046,233.795029,-633.494141,-23.709898,236.020691,-628.223450,-93.683426,235.510880,-616.461548,205.860092,34.093037,9.282139,10.218210,43.690067,202.442398,10.318330,36.614639,9.225746,236.525848,43.809109
56,0,-559.872437,-91.117699,233.465714,-561.947693,-20.337725,233.811066,-633.487366,-23.700817,236.044250,-628.225464,-93.675644,235.528015,-616.458435,205.864548,34.118996,9.278981,10.224153,43.710915,202.436935,10.326448,36.631016,9.223831,236.530914,43.830528
57,0,-559.875610,-91.117920,233.455185,-561.947327,-20.337683,233.802322,-633.496704,-23.701866,236.029495,-628.225403,-93.676437,235.518036,-616.460999,205.864822,34.105125,9.278476,10.229316,43.693150,202.437622,10.331952,36.614185,9.223816,236.537262,43.815861
58,0,-559.873779,-91.123024,233.435043,-561.945251,-20.343271,233.781021,-633.494934,-23.703533,236.007599,-628.224182,-93.675591,235.498962,-616.465088,205.863129,34.076488,9.278471,10.228407,43.669548,202.441971,10.330109,36.590908,9.226007,236.538589,43.789249
59,0,-559.871887,-91.121033,233.448822,-561.945557,-20.341505,233.793076,-633.492859,-23.708754,236.022980,-628.219421,-93.680847,235.512878,-616.457642,205.862625,34.092682,9.282739,10.219853,43.690212,202.443069,10.323027,36.612831,9.227612,236.530014,43.809052
60,0,-559.864807,-91.119728,233.477875,-561.950745,-20.334776,233.820770,-633.491394,-23.702126,236.049042,-628.227539,-93.673416,235.533478,-616.458435,205.864761,34.126209,9.278477,10.224582,43.715546,202.437759,10.324549,36.640446,9.225390,236.529541,43.838284
61,0,-559.875793,-91.116768,233.453323,-561.947021,-20.337461,233.802078,-633.501404,-23.699787,236.022217,-628.225586,-93.676750,235.517685,-616.463440,205.867767,34.098030,9.276611,10.231584,43.689362,202.437408,10.336300,36.608177,9.224824,236.540512,43.811016
62,0,-559.875977,-91.121002,233.438583,-561.947693,-20.341076,233.780746,-633.497864,-23.702576,236.009369,-628.226196,-93.677658,235.500732,-616.465271,205.862915,34.078304,9.279324,10.227304,43.673035,202.440979,10.329862,36.592815,9.225983,236.539062,43.789761
63,0,-559.871094,-91.119522,233.448929,-561.948181,-20.333668,233.793182,-633.487610,-23.701628,236.026260,-628.218567,-93.672760,235.515549,-616.462219,205.867737,34.094563,9.282778,10.221542,43.690720,202.444260,10.321314,36.614571,9.227835,236.532806,43.811485
64,0,-559.867004,-91.113991,233.474182,-561.947632,-20.330879,233.821732,-633.487610,-23.695379,236.051331,-628.221008,-93.668564,235.534424,-616.459656,205.869675,34.125248,9.278808,10.227191,43.714375,202.437866,10.326884,36.639275,9.225541,236.534348,43.837631
65,0,-559.867188,-91.109489,233.453156,-561.947388,-20.331432,233.799423,-633.495544,-23.693676,236.025330,-628.226013,-93.669250,235.515274,-616.456360,205.870392,34.102158,9.281552,10.229883,43.691296,202.437317,10.336983,36.608948,9.227743,236.542358,43.810974
66,0,-559.877502,-91.120216,233.436523,-561.949646,-20.339556,233.778168,-633.501221,-23.703810,236.005325,-628.226135,-93.675255,235.499191,-616.462708,205.864609,34.072010,9.279364,10.225465,43.670399,202.441818,10.329337,36.591042,9.225363,236.536316,43.785934
67,0,-559.870789,-91.122940,233.448730,-561.946716,-20.338863,233.797897,-633.490906,-23.704454,236.023804,-628.220764,-93.675461,235.512711,-616.458618,205.861618,34.096581,9.280597,10.219397,43.694294,202.440277,10.319882,36.615997,9.226112,236.523422,43.814568
68,0,-559.869690,-91.119316,233.469070,-561.947754,-20.342226,233.812790,-633.488892,-23.707266,236.045944,-628.224365,-93.676872,235.529251,-616.464539,205.860428,34.118763,9.278920,10.216969,43.712490,202.439102,10.319704,36.635822,9.224086,236.523056,43.832752
69,0,-559.872925,-91.120834,233.448257,-561.949219,-20.340582,233.790115,-633.497864,-23.701633,236.019180,-628.229675,-93.678894,235.510620,-616.465881,205.866531,34.090694,9.279187,10.231521,43.685387,202.437439,10.332394,36.606407,9.225444,236.541458,43.800827
70,0,-559.869080,-91.126343,233.433304,-561.948364,-20.346607,233.775696,-633.500000,-23.708559,236.001831,-628.224426,-93.682495,235.496857,-616.461792,205.858444,34.069492,9.278317,10.224179,43.668030,202.439468,10.328821,36.588566,9.224293,236.536179,43.786339
71,0,-559.877747,-91.120926,233.454056,-561.946289,-20.345247,233.803116,-633.490662,-23.706690,236.031998,-628.219360,-93.680267,235.520447,-616.462524,205.856934,34.106670,9.281634,10.217628,43.704639,202.441162,10.316872,36.629089,9.227271,236.522430,43.825089
72,0,-559.869690,-91.119331,233.464096,-561.950134,-20.338264,233.812149,-633.491150,-23.705774,236.042862,-628.226501,-93.675850,235.527298,-616.462036,205.860062,34.113323,9.277879,10.220848,43.706169,202.435883,10.325747,36.628670,9.223699,236.528732,43.829006
73,0,-559.875549,-91.119576,233.445618,-561.950562,-20.338526,233.786438,-633.501038,-23.697510,236.015305,-628.226562,-93.673485,235.506500,-616.464172,205.869614,34.087013,9.275854,10.234561,43.677120,202.434677,10.343546,36.592186,9.222542,236.550751,43.794552
74,0,-559.870605,-91.119141,233.444794,-561.952454,-20.334490,233.782196,-633.497131,-23.701275,236.014816,-628.223755,-93.673950,235.503754,-616.457275,205.864151,34.084892,9.279099,10.230186,43.677780,202.441025,10.332756,36.597111,9.225825,236.538574,43.794155
